"pair_key","target_pair","method","method_key","source_seed","within_seed_rank","compound_id","canonical_smiles","predicted_target_1","predicted_target_2","min_predicted_activity","mean_predicted_activity","qed","sa","logp","source_file","BRD4","EGFR","PARP1","VEGFR2","target_1_vina","target_2_vina","dual_worst_vina","dual_mean_vina","dual_pass","nearest_train_similarity","average_novelty_1_minus_tanimoto","exact_training_structure_novel"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","45","2","CLV_AS45_02","Cc1ccsc1NC(=O)Nc1ccnc(NCc2ccco2)c1","7.680696964263916","7.626056671142578","7.626056671142578","7.653376817703247","0.6521982839350332","2.451966409024351","4.300620000000002","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed45/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.4","","-9.4","-7.4","-9.4","-7.4","-8.4","True","0.4761904761904761","0.523809523809524","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","45","3","CLV_AS45_03","Cc1ccsc1C(C)NC(=O)Nc1cc(-c2ncco2)ncn1","7.768260478973389","7.501004219055176","7.501004219055176","7.634632349014282","0.7651308862817445","3.23738480193515","3.384220000000001","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed45/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.0","","-8.3","-7.0","-8.3","-7.0","-7.65","True","0.4714285714285714","0.5285714285714286","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","45","4","CLV_AS45_04","CCOc1ccnc(NC(=O)Nc2ncnc3scnc23)c1","7.7038655281066895","7.499781131744385","7.499781131744385","7.601823329925537","0.7665607167243744","2.584761337955989","2.524","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed45/evaluation/quality_constrained/quality_annotated_molecules.csv","","-6.4","","-8.6","-6.4","-8.6","-6.4","-7.5","False","0.46551724137931033","0.5344827586206897","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","45","5","CLV_AS45_05","Cc1ccsc1C(NC(=O)Nc1ccnc(NC(=O)N(C)C)c1)C1CC1","7.776060581207275","7.449118137359619","7.449118137359619","7.612589359283447","0.7445989545587364","3.137599868075327","3.817820000000002","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed45/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.3","","-8.7","-7.3","-8.7","-7.3","-8.0","True","0.5074626865671642","0.4925373134328358","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","45","6","CLV_AS45_06","CC(c1cnccn1)N1Cc2ccc(NC(=O)Cc3ccco3)cc2C1=O","7.711708068847656","7.375418186187744","7.375418186187744","7.5435631275177","0.7537536516669645","3.082178736899392","2.9678000000000013","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed45/evaluation/quality_constrained/quality_annotated_molecules.csv","","-8.5","","-9.1","-8.5","-9.1","-8.5","-8.8","True","0.4025974025974026","0.5974025974025974","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","45","7","CLV_AS45_07","COC(=O)Nc1cc(NC(=O)Nc2ccc3ncsc3c2)ccn1","7.311244487762451","7.66274356842041","7.311244487762451","7.486994028091431","0.6746832444901291","2.338782636765938","3.5136000000000003","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed45/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.3","","-9.7","-7.3","-9.7","-7.3","-8.5","True","0.5686274509803921","0.43137254901960786","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","45","8","CLV_AS45_08","CN(Cc1ccco1)C(=O)Nc1cccc(Nc2nccs2)c1","7.306783676147461","7.435020446777344","7.306783676147461","7.370902061462402","0.7381440387113598","2.2564938487488053","4.143600000000002","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed45/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.0","","-8.6","-7.0","-8.6","-7.0","-7.8","True","0.625","0.375","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","45","9","CLV_AS45_09","CCCS(=O)(=O)c1cc(Nc2ccc(NC(=O)C3CC3)cn2)ccn1","7.299827575683594","7.510170459747314","7.299827575683594","7.404999017715454","0.7872146590440657","2.4719389284843363","2.7524000000000006","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed45/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.9","","-9.1","-7.9","-9.1","-7.9","-8.5","True","0.5254237288135594","0.47457627118644063","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","45","10","CLV_AS45_10","Cc1cccc(NC(=O)N2CCCC(c3noc(-c4ccco4)n3)C2)c1","7.293975353240967","7.376577854156494","7.293975353240967","7.33527660369873","0.7685517460937854","2.783550171719053","4.049520000000002","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed45/evaluation/quality_constrained/quality_annotated_molecules.csv","","-9.2","","-10.7","-9.2","-10.7","-9.2","-9.95","True","0.6461538461538462","0.3538461538461538","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","46","1","CLV_AS46_01","Cc1ccsc1COC(=O)c1cc(NC(=O)Nc2ccco2)ccn1","7.777420520782471","7.654451847076416","7.654451847076416","7.715936183929443","0.6721141601428786","2.6426300823304896","4.045520000000002","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed46/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.9","","-8.9","-7.9","-8.9","-7.9","-8.4","True","0.4461538461538462","0.5538461538461539","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","46","2","CLV_AS46_02","Cc1ccsc1NC(=O)Nc1cccc(-c2ncco2)c1","7.609740257263184","7.654479026794434","7.609740257263184","7.632109642028809","0.7549428898798043","2.396486747796608","4.355520000000002","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed46/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.5","","-9.6","-7.5","-9.6","-7.5","-8.55","True","0.603448275862069","0.39655172413793105","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","46","3","CLV_AS46_03","CCCOc1cc(NC(=O)Nc2ncnc3[nH]cnc23)ccn1","7.804461479187012","7.541689395904541","7.541689395904541","7.673075437545776","0.6642015049784133","2.648730588128828","2.1807","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed46/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.0","","-9.1","-7.0","-9.1","-7.0","-8.05","True","0.5","0.5","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","46","4","CLV_AS46_04","Cc1ccsc1-c1csc(NC(=O)Nc2cc(F)ccn2)n1","7.70131254196167","7.522435188293457","7.522435188293457","7.6118738651275635","0.7477425366362962","2.56889039015379","4.358120000000001","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed46/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.6","","-8.3","-7.6","-8.3","-7.6","-7.95","True","0.4603174603174603","0.5396825396825398","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","46","5","CLV_AS46_05","Cc1cccc(NC(=O)NCc2ccnc(Nc3nccs3)c2)c1","7.4103193283081055","7.414199352264404","7.4103193283081055","7.412259340286255","0.6583105737534533","2.1861591776163927","3.9118200000000014","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed46/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.9","","-9.3","-7.9","-9.3","-7.9","-8.600000000000001","True","0.631578947368421","0.368421052631579","True"
