pair_key,target_pair,method,source_seed,n,best,mean,median,variance,dual_pass_n,dual_pass_rate,qed,sa,logp,average_novelty,exact_structure_novelty_rate
pairB,PARP1/BRD4,MO-LSO,50,10,-8.3,-7.209999999999999,-7.0,0.3610000000000002,5,0.5,0.7581519485241047,2.8723732449559862,1.5774420000000005,0.5183275624893211,1.0
pairB,PARP1/BRD4,MO-LSO,51,10,-8.4,-7.3,-7.45,0.7155555555555556,7,0.7,0.7708578099042704,3.048071279570092,1.8981900000000003,0.5070310243205719,1.0
pairB,PARP1/BRD4,GraphPareto-NSGA-II,42,10,-9.3,-8.24,-8.25,0.3160000000000002,10,1.0,0.6305753446198608,2.9629333327547096,2.1984620000000006,0.523336253783093,1.0
pairB,PARP1/BRD4,GraphPareto-NSGA-II,43,10,-8.9,-7.69,-7.95,0.738777777777778,7,0.7,0.7276770331696512,2.4138525429490025,3.2466420000000022,0.5171677538739304,1.0
pairB,PARP1/BRD4,GraphPareto-NSGA-II,44,10,-9.8,-8.41,-8.45,1.5943333333333334,9,0.9,0.758453248207021,3.3460950361716657,4.091696000000003,0.6302114550431076,1.0
pairB,PARP1/BRD4,GraphPareto-NSGA-II,45,10,-9.2,-8.25,-8.45,0.34944444444444395,10,1.0,0.7270988756121974,3.2976577196637535,3.7413400000000023,0.5554569070723581,1.0
pairB,PARP1/BRD4,GraphPareto-NSGA-II,46,10,-8.6,-8.15,-8.3,0.19166666666666685,10,1.0,0.7582607774114869,3.7047554621629857,3.936168000000003,0.5098689449499385,1.0
pairB,PARP1/BRD4,GraphPareto-NSGA-II,47,10,-8.2,-7.279999999999999,-7.35,0.36177777777777753,7,0.7,0.6901877534821257,3.5214063751568974,4.003332000000002,0.5995324416808546,1.0
pairB,PARP1/BRD4,GraphPareto-NSGA-II,48,10,-8.6,-7.55,-7.55,0.296111111111111,8,0.8,0.7564135779929806,3.333400409615944,2.8673280000000014,0.44230075035255867,1.0
pairB,PARP1/BRD4,GraphPareto-NSGA-II,49,10,-8.6,-8.18,-8.1,0.03955555555555573,10,1.0,0.6629755799181186,2.684063694216532,3.436566000000002,0.5068147248778054,1.0
pairB,PARP1/BRD4,GraphPareto-NSGA-II,50,10,-9.1,-7.75,-7.9,0.5116666666666667,8,0.8,0.7760124019363628,3.5521931836019967,1.3887319999999996,0.6366702720830012,1.0
pairB,PARP1/BRD4,GraphPareto-NSGA-II,51,10,-8.3,-7.840000000000001,-7.75,0.06488888888888894,10,1.0,0.709897031732192,3.7403564986364737,3.3377160000000017,0.6761747108813398,1.0
