smiles,pactivity,n_measurements,pactivity_sd,pactivity_min,pactivity_max,first_document_year,last_document_year,n_documents,n_assays,scaffold,pactivity_span
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(c3)oc(=O)n5C(C)C(=O)N4)CC2)c(C)n1,6.06,1,0.0,6.06,6.06,2024,2024,1,1,O=C1Cn2c(=O)oc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(ccn5C(C)C(=O)N4)c3)CC2)c(C)n1,6.25,1,0.0,6.25,6.25,2024,2024,1,1,O=C1Cn2ccc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(ccn5C(C)C(=O)N4)c3)CC2)c(Cl)n1,6.89,1,0.0,6.89,6.89,2024,2024,1,1,O=C1Cn2ccc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(ccn5C(C)C(=O)N4)c3)CC2)c(F)n1,6.8,1,0.0,6.8,6.8,2024,2024,1,1,O=C1Cn2ccc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(cnn5C(C)(C)C(=O)N4)c3)CC2)c(C)n1,5.77,1,0.0,5.77,5.77,2024,2024,1,1,O=C1Cn2ncc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(cnn5C(C)C(=O)N4)c3)CC2)c(C)n1,6.52,1,0.0,6.52,6.52,2024,2024,1,1,O=C1Cn2ncc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(cnn5C(C)C(=O)N4)c3)CC2)c(Cl)n1,6.38,1,0.0,6.38,6.38,2024,2024,1,1,O=C1Cn2ncc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(cnn5C(C)C(=O)N4)c3)CC2)c(F)n1,6.41,1,0.0,6.41,6.41,2024,2024,1,1,O=C1Cn2ncc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(cnn5C(C)C(=O)N4)c3)CC2)cn1,6.08,1,0.0,6.08,6.08,2024,2024,1,1,O=C1Cn2ncc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(cnn5C(C5CC5)C(=O)N4)c3)CC2)c(C)n1,6.08,1,0.0,6.08,6.08,2024,2024,1,1,O=C1Nc2cc(CN3CCN(c4cccnc4)CC3)cc3cnn(c23)C1C1CC1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(cnn5C5(CC5)C(=O)N4)c3)CC2)c(C)n1,6.68,1,0.0,6.68,6.68,2024,2024,1,1,O=C1Nc2cc(CN3CCN(c4cccnc4)CC3)cc3cnn(c23)C12CC2,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(cnn5CC(=O)N4)c3)CC2)c(C)n1,5.92,1,0.0,5.92,5.92,2024,2024,1,1,O=C1Cn2ncc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(cnn5[C@@H](C)C(=O)N4)c3)CC2)c(C)n1,6.32,1,0.0,6.32,6.32,2024,2024,1,1,O=C1Cn2ncc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(cnn5[C@H](C)C(=O)N4)c3)CC2)c(C)n1,6.5,1,0.0,6.5,6.5,2024,2024,1,1,O=C1Cn2ncc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(cnn5[C@H](C)C(=O)N4)c3F)CC2)c(C)n1,6.44,1,0.0,6.44,6.44,2024,2024,1,1,O=C1Cn2ncc3cc(CN4CCN(c5cccnc5)CC4)cc(c32)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(n(C)nc5c3)N(C)C(=O)N4)CC2)c(Cl)n1,6.0,1,0.0,6.0,6.0,2024,2024,1,1,O=C1Nc2cc(CN3CCN(c4cccnc4)CC3)cc3n[nH]c(c23)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(n(C)nc5c3)N(C)C(=O)N4)CC2)c(F)n1,6.22,1,0.0,6.22,6.22,2024,2024,1,1,O=C1Nc2cc(CN3CCN(c4cccnc4)CC3)cc3n[nH]c(c23)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(ncnc5c3)N(C)C(=O)N4)CC2)c(C)n1,7.0,1,0.0,7.0,7.0,2024,2024,1,1,O=C1Nc2cc(CN3CCN(c4cccnc4)CC3)cc3ncnc(c23)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(ncnc5c3)N(C)C(=O)N4)CC2)c(F)n1,6.3,1,0.0,6.3,6.3,2024,2024,1,1,O=C1Nc2cc(CN3CCN(c4cccnc4)CC3)cc3ncnc(c23)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(nn(C)c5c3)N(C)C(=O)N4)CC2)c(C)n1,6.4,1,0.0,6.4,6.4,2024,2024,1,1,O=C1Nc2cc(CN3CCN(c4cccnc4)CC3)cc3[nH]nc(c23)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(nn(C)c5c3)N(C)C(=O)N4)CC2)c(Cl)n1,6.57,1,0.0,6.57,6.57,2024,2024,1,1,O=C1Nc2cc(CN3CCN(c4cccnc4)CC3)cc3[nH]nc(c23)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4c5c(nn(C)c5c3)N(C)C(=O)N4)CC2)c(F)n1,6.52,1,0.0,6.52,6.52,2024,2024,1,1,O=C1Nc2cc(CN3CCN(c4cccnc4)CC3)cc3[nH]nc(c23)N1,0.0
CNC(=O)c1ccc(N2CCN(Cc3cc4cnn5c4c(c3F)NC(=O)C53CC3)CC2)c(C)n1,6.07,1,0.0,6.07,6.07,2024,2024,1,1,O=C1Nc2cc(CN3CCN(c4cccnc4)CC3)cc3cnn(c23)C12CC2,0.0
