smiles,pactivity,n_measurements,pactivity_sd,pactivity_min,pactivity_max,first_document_year,last_document_year,n_documents,n_assays,scaffold,pactivity_span
C=CC(=O)Nc1ccc(Oc2ccc(C)cc2)c(-c2cc(NC)c(=O)n(C)c2)c1,6.92,1,0.0,6.92,6.92,2021,2021,1,1,O=c1ccc(-c2ccccc2Oc2ccccc2)c[nH]1,0.0
C=CC(=O)Nc1ccc(Oc2ccc(C)cc2)c(-c2cn(C)c(=O)c3ccccc23)c1,6.58,1,0.0,6.58,6.58,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2ccccc12,0.0
C=CC(=O)Nc1ccc(Oc2ccc(Cl)c(F)c2)c(-c2cn(C)c(=O)c3ccccc23)c1,6.14,1,0.0,6.14,6.14,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2ccccc12,0.0
C=CC(=O)Nc1ccc(Oc2ccc(Cl)cc2)c(-c2cn(C)c(=O)c3ccccc23)c1,6.38,1,0.0,6.38,6.38,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2ccccc12,0.0
C=CC(=O)Nc1ccc(Oc2ccc(F)cc2)c(-c2cc(NC)c(=O)n(C)c2)c1,7.11,2,0.1838477631085022,6.98,7.24,2021,2021,1,2,O=c1ccc(-c2ccccc2Oc2ccccc2)c[nH]1,0.2599999999999998
C=CC(=O)Nc1ccc(Oc2ccc(F)cc2)c(-c2cn(C(C)C)c(=O)c3ccccc23)c1,4.75,1,0.0,4.75,4.75,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2ccccc12,0.0
C=CC(=O)Nc1ccc(Oc2ccc(F)cc2)c(-c2cn(C)c(=O)c3ccccc23)c1,6.55,1,0.0,6.55,6.55,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2ccccc12,0.0
C=CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cc(N(C)C)c(=O)n(C)c2)c1,7.67,2,0.21213203435596475,7.52,7.82,2021,2021,1,2,O=c1ccc(-c2ccccc2Oc2ccccc2)c[nH]1,0.3000000000000007
C=CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cc(NC)c(=O)n(C)c2)c1,6.960000000000001,2,0.32526911934581154,6.73,7.19,2021,2021,1,2,O=c1ccc(-c2ccccc2Oc2ccccc2)c[nH]1,0.45999999999999996
C=CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3c2OCC(=O)N3)c1,5.74,1,0.0,5.74,5.74,2021,2021,1,1,O=C1COc2c(-c3ccccc3Oc3ccccc3)c[nH]c(=O)c2N1,0.0
C=CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3ccccc23)c1,6.5,1,0.0,6.5,6.5,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2ccccc12,0.0
C=CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)cc2OC)c1,7.35,2,0.8626702730475881,6.74,7.96,2021,2021,1,2,O=c1ccc(-c2ccccc2Oc2ccccc2)c[nH]1,1.2199999999999998
C=CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2nn(C)c(=O)cc2OC)c1,6.69,1,0.0,6.69,6.69,2021,2021,1,1,O=c1ccc(-c2ccccc2Oc2ccccc2)n[nH]1,0.0
C=CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-n2cc(C)c(=O)c3ccccc32)c1,7.57,1,0.0,7.57,7.57,2021,2021,1,1,O=c1ccn(-c2ccccc2Oc2ccccc2)c2ccccc12,0.0
C=CC(=O)Nc1ccc(Oc2ccc(OC)cc2)c(-c2cc(NC)c(=O)n(C)c2)c1,6.85,1,0.0,6.85,6.85,2021,2021,1,1,O=c1ccc(-c2ccccc2Oc2ccccc2)c[nH]1,0.0
C=CC(=O)Nc1ccc(Oc2ccc(OC)cc2)c(-c2cn(C)c(=O)c3ccccc23)c1,6.720000000000001,2,0.5656854249492376,6.32,7.12,2021,2021,1,2,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2ccccc12,0.7999999999999998
C=CCC1(O)C(=O)Nc2ccc(-c3c(C)noc3C)cc21,5.6,2,0.0,5.6,5.6,2016,2016,1,2,O=C1Cc2cc(-c3cnoc3)ccc2N1,0.0
C=CCCC1(O)C(=O)Nc2ccc(-c3c(C)noc3C)cc21,6.37,2,0.0,6.37,6.37,2016,2016,1,2,O=C1Cc2cc(-c3cnoc3)ccc2N1,0.0
C=CCCCC1(O)C(=O)Nc2ccc(-c3c(C)noc3C)cc21,6.27,2,0.0,6.27,6.27,2016,2016,1,2,O=C1Cc2cc(-c3cnoc3)ccc2N1,0.0
C=CCCN1C(=O)[C@@H](C)N(C2CCCC2)c2nc(Nc3ccc(C(=O)N4CCC(O)CC4)cc3OC)ccc21,5.36,1,0.0,5.36,5.36,2019,2019,1,1,O=C1CN(C2CCCC2)c2nc(Nc3ccc(C(=O)N4CCCCC4)cc3)ccc2N1,0.0
C=CCCn1cc(-c2cc(C#N)cc(C(=O)N3CCOCC3)c2)c2cc[nH]c2c1=O,5.525,2,0.3181980515339468,5.3,5.75,2018,2018,1,2,O=C(c1cccc(-c2c[nH]c(=O)c3[nH]ccc23)c1)N1CCOCC1,0.4500000000000002
C=CCCn1cc(-c2cc(C(=O)N3CCOCC3)c3c(c2)ncn3C)c2cc[nH]c2c1=O,5.4,2,0.05656854249492385,5.36,5.44,2018,2018,1,2,O=C(c1cc(-c2c[nH]c(=O)c3[nH]ccc23)cc2nc[nH]c12)N1CCOCC1,0.08000000000000007
C=CCCn1cc(-c2cc(C(=O)N3CCOCC3)c3c(c2)ncn3CC)c2cc[nH]c2c1=O,5.85,2,0.21213203435596445,5.7,6.0,2018,2018,1,2,O=C(c1cc(-c2c[nH]c(=O)c3[nH]ccc23)cc2nc[nH]c12)N1CCOCC1,0.2999999999999998
